Geo Point;Geo Shape;gid;geom_o;geom_err;typologie;nombre;insee;cdate;mdate
44.9262244,-0.4922205;"{""type"": ""Point"", ""coordinates"": [-0.4922205, 44.9262244]}";1109300967;0;;;6;33003;2016-06-03T00:00:00+02:00;2016-06-03T00:00:00+02:00
44.9261293,-0.4886664;"{""type"": ""Point"", ""coordinates"": [-0.4886664, 44.9261293]}";1109528044;0;;;5;33003;2020-09-10T00:00:00+02:00;2020-09-10T00:00:00+02:00
44.9288862,-0.4723593;"{""type"": ""Point"", ""coordinates"": [-0.4723593, 44.9288862]}";1109458937;0;;;3;33003;2019-09-17T00:00:00+02:00;2019-09-17T00:00:00+02:00
44.9347605,-0.4810785;"{""type"": ""Point"", ""coordinates"": [-0.4810785, 44.9347605]}";1109434491;0;;;10;33003;2019-04-04T00:00:00+02:00;2019-04-04T00:00:00+02:00
44.9266548,-0.4866555;"{""type"": ""Point"", ""coordinates"": [-0.4866555, 44.9266548]}";1109546657;0;;;8;33003;2021-01-25T00:00:00+01:00;2021-01-25T00:00:00+01:00
44.9264831,-0.4898237;"{""type"": ""Point"", ""coordinates"": [-0.4898237, 44.9264831]}";1109434493;0;;;4;33003;2019-04-04T00:00:00+02:00;2019-04-04T00:00:00+02:00
44.8395878,-0.7749949;"{""type"": ""Point"", ""coordinates"": [-0.7749949, 44.8395878]}";1109393143;0;;;4;33273;2018-06-13T00:00:00+02:00;2018-06-13T00:00:00+02:00
44.8407743,-0.775387;"{""type"": ""Point"", ""coordinates"": [-0.775387, 44.8407743]}";1109525241;0;;;7;33273;2020-07-29T00:00:00+02:00;2020-07-29T00:00:00+02:00
44.8279581,-0.5396055;"{""type"": ""Point"", ""coordinates"": [-0.5396055, 44.8279581]}";1109448982;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8517256,-0.5899901;"{""type"": ""Point"", ""coordinates"": [-0.5899901, 44.8517256]}";1109449040;0;;;10;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8508985,-0.5735155;"{""type"": ""Point"", ""coordinates"": [-0.5735155, 44.8508985]}";1109449066;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8508313,-0.5923667;"{""type"": ""Point"", ""coordinates"": [-0.5923667, 44.8508313]}";1109449418;0;;;2;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8443185,-0.5529709;"{""type"": ""Point"", ""coordinates"": [-0.5529709, 44.8443185]}";1109449464;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8411311,-0.558156;"{""type"": ""Point"", ""coordinates"": [-0.558156, 44.8411311]}";1109449466;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8440025,-0.5436128;"{""type"": ""Point"", ""coordinates"": [-0.5436128, 44.8440025]}";1109449500;0;;;2;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
